fiscal_year,payroll_number,agency_name,agency_start_date,work_location_borough,title_description,leave_status_as_of_june_30,base_salary,pay_basis,regular_hours,regular_gross_paid,ot_hours,total_ot_paid,total_other_pay
2021,67,ADMIN FOR CHILDREN'S SVCS,2021-04-26T00:00:00.000,QUEENS,YOUTH DEVELOPMENT SPECIALIST,CEASED,45759.00,per Annum,210,5453.43,0,0.00,0.00
2021,67,ADMIN FOR CHILDREN'S SVCS,2017-04-10T00:00:00.000,BRONX,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60157.15,1,33.95,1683.74
2021,67,ADMIN FOR CHILDREN'S SVCS,2020-12-07T00:00:00.000,QUEENS,YOUTH DEVELOPMENT SPECIALIST,CEASED,45759.00,per Annum,36.25,908.80,0,0.00,0.00
2021,67,ADMIN FOR CHILDREN'S SVCS,2016-05-16T00:00:00.000,BRONX,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60157.15,0,0.00,1698.39
2021,67,ADMIN FOR CHILDREN'S SVCS,2017-02-06T00:00:00.000,BRONX,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60157.15,0,0.00,1886.03
2021,67,ADMIN FOR CHILDREN'S SVCS,2020-04-27T00:00:00.000,RICHMOND,AGENCY ATTORNEY,ACTIVE,95632.00,per Annum,1820,95362.92,0,0.00,49.50
2021,67,ADMIN FOR CHILDREN'S SVCS,2011-08-30T00:00:00.000,BRONX,CHILD PROTECTIVE SPECIALIST SUPERVISOR,ACTIVE,67392.00,per Annum,1579,76242.59,89.75,5130.87,3232.55
2021,67,ADMIN FOR CHILDREN'S SVCS,2019-02-11T00:00:00.000,BRONX,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60157.15,439,19961.55,4659.29
2021,67,ADMIN FOR CHILDREN'S SVCS,2017-11-06T00:00:00.000,MANHATTAN,AGENCY ATTORNEY,ACTIVE,82137.00,per Annum,1820,81905.81,0,0.00,3090.60
2021,67,ADMIN FOR CHILDREN'S SVCS,2001-10-01T00:00:00.000,MANHATTAN,SHEET METAL WORKER,ACTIVE,405.44,per Day,1820,105414.40,250,28960.00,0.00
2021,67,ADMIN FOR CHILDREN'S SVCS,2014-10-20T00:00:00.000,MANHATTAN,ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES,ACTIVE,85939.00,per Annum,1820,85697.11,0,0.00,0.00
2021,67,ADMIN FOR CHILDREN'S SVCS,2017-06-12T00:00:00.000,BRONX,AGENCY ATTORNEY,ACTIVE,82137.00,per Annum,1820,81905.81,1,46.84,3796.69
2021,67,ADMIN FOR CHILDREN'S SVCS,1996-06-23T00:00:00.000,BRONX,CHILD AND FAMILY SPECIALIST,ACTIVE,89429.00,per Annum,1820,89177.21,72.75,3846.83,810.03
2021,67,ADMIN FOR CHILDREN'S SVCS,2016-08-08T00:00:00.000,MANHATTAN,CHILD PROTECTIVE SPECIALIST,ACTIVE,60327.00,per Annum,1820,60157.15,565.25,26553.56,7475.50
2021,67,ADMIN FOR CHILDREN'S SVCS,1997-02-02T00:00:00.000,QUEENS,CHILD AND FAMILY SPECIALIST,ACTIVE,89429.00,per Annum,1820,89177.21,84.25,5271.33,758.85
2021,67,ADMIN FOR CHILDREN'S SVCS,1998-01-05T00:00:00.000,MANHATTAN,CHILD AND FAMILY SPECIALIST,CEASED,98484.00,per Annum,1043,56276.60,0,0.00,5498.80
2021,67,ADMIN FOR CHILDREN'S SVCS,2017-08-14T00:00:00.000,MANHATTAN,CHILD PROTECTIVE SPECIALIST,ON LEAVE,60327.00,per Annum,1330,43720.13,0,0.00,1000.11
2021,67,ADMIN FOR CHILDREN'S SVCS,2018-04-23T00:00:00.000,QUEENS,CHILD PROTECTIVE SPECIALIST,CEASED,60327.00,per Annum,-210,-6758.14,0,0.00,-97.32
