fiscal_year,payroll_number,agency_name,agency_start_date,work_location_borough,title_description,leave_status_as_of_june_30,base_salary,pay_basis,regular_hours,regular_gross_paid,ot_hours,total_ot_paid,total_other_pay
2020,67,ADMIN FOR CHILDREN'S SVCS,2019-04-22T00:00:00.000,BROOKLYN,YOUTH DEVELOPMENT SPECIALIST,ACTIVE,45759.00,per Annum,1645,39643.70,207.25,6733.91,150.52
2020,67,ADMIN FOR CHILDREN'S SVCS,2019-01-21T00:00:00.000,MANHATTAN,CLERICAL ASSOCIATE,ACTIVE,47771.00,per Annum,1820,46488.62,0,0.00,0.00
2020,67,ADMIN FOR CHILDREN'S SVCS,2016-09-26T00:00:00.000,MANHATTAN,COMMUNITY ASSOCIATE,ACTIVE,47610.00,per Annum,1820,46215.52,0,0.00,8.25
2020,67,ADMIN FOR CHILDREN'S SVCS,2006-05-08T00:00:00.000,BRONX,CLERICAL ASSOCIATE,ACTIVE,44349.00,per Annum,1820,42192.72,42.5,1042.71,1997.19
2020,67,ADMIN FOR CHILDREN'S SVCS,2004-05-24T00:00:00.000,QUEENS,CLERICAL ASSOCIATE,ACTIVE,41848.00,per Annum,1820,41205.35,0,0.00,3954.41
2020,67,ADMIN FOR CHILDREN'S SVCS,2006-04-10T00:00:00.000,MANHATTAN,COMMUNITY COORDINATOR,ON LEAVE,65948.00,per Annum,658,7251.12,0,0.00,55.27
2020,67,ADMIN FOR CHILDREN'S SVCS,2019-10-15T00:00:00.000,MANHATTAN,PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR,CEASED,28.19,per Hour,220.75,6222.94,0,0.00,0.00
2020,67,ADMIN FOR CHILDREN'S SVCS,2019-02-04T00:00:00.000,QUEENS,CHILD PROTECTIVE SPECIALIST,CEASED,49279.00,per Annum,105,2830.09,46.75,1621.73,1516.83
2020,67,ADMIN FOR CHILDREN'S SVCS,2019-07-01T00:00:00.000,MANHATTAN,SUMMER COLLEGE INTERN,CEASED,15.50,per Hour,371,5750.50,0,0.00,217.00
2020,67,ADMIN FOR CHILDREN'S SVCS,2019-10-28T00:00:00.000,MANHATTAN,YOUTH DEVELOPMENT SPECIALIST,CEASED,45759.00,per Annum,246.25,5594.46,0,0.00,16.28
2020,67,ADMIN FOR CHILDREN'S SVCS,2007-02-19T00:00:00.000,MANHATTAN,PRINCIPAL ADMINISTRATIVE ASSOCIATE -  NON SUPVR,CEASED,59519.00,per Annum,70,3766.69,0,0.00,236.32
2020,67,ADMIN FOR CHILDREN'S SVCS,2019-06-24T00:00:00.000,BROOKLYN,SUMMER COLLEGE INTERN,CEASED,15.50,per Hour,249.15,3861.83,0,0.00,108.50
2020,67,ADMIN FOR CHILDREN'S SVCS,2019-07-09T00:00:00.000,MANHATTAN,SUMMER COLLEGE INTERN,CEASED,15.50,per Hour,220.12,3411.81,0,0.00,108.50
2020,67,ADMIN FOR CHILDREN'S SVCS,2019-07-09T00:00:00.000,MANHATTAN,SUMMER COLLEGE INTERN,CEASED,15.50,per Hour,216.2,3351.11,0,0.00,108.50
2020,67,ADMIN FOR CHILDREN'S SVCS,2016-05-09T00:00:00.000,MANHATTAN,STAFF ANALYST,CEASED,66875.00,per Annum,70,2562.06,0,0.00,0.00
2020,67,ADMIN FOR CHILDREN'S SVCS,2018-12-24T00:00:00.000,MANHATTAN,ASSOCIATE STAFF ANALYST,CEASED,65731.00,per Annum,70,2518.24,0,0.00,0.00
2020,67,ADMIN FOR CHILDREN'S SVCS,2015-09-08T00:00:00.000,MANHATTAN,AGENCY ATTORNEY,CEASED,79552.00,per Annum,0,1965.44,0,0.00,67.83
2020,67,ADMIN FOR CHILDREN'S SVCS,2019-09-16T00:00:00.000,BRONX,AGENCY ATTORNEY INTERNE,CEASED,71757.00,per Annum,42,1629.00,0,0.00,0.00
